oblast,raion,hromada,level,started_at,finished_at,source
Lvivska oblast,,,oblast,2022-08-24 10:14:08+00:00,2022-08-24 10:37:37+00:00,official
Lvivska oblast,,,oblast,2022-08-24 12:47:22+00:00,2022-08-24 13:28:46+00:00,official
Lvivska oblast,,,oblast,2022-08-24 13:50:21+00:00,2022-08-24 15:01:22+00:00,official
Lvivska oblast,,,oblast,2022-08-24 15:33:19+00:00,2022-08-24 16:06:58+00:00,official
Lvivska oblast,,,oblast,2022-08-24 17:02:19+00:00,2022-08-24 17:29:47+00:00,official
Lvivska oblast,,,oblast,2022-08-28 16:28:26+00:00,2022-08-28 16:53:24+00:00,official
Lvivska oblast,,,oblast,2022-08-31 08:57:08+00:00,2022-08-31 09:24:34+00:00,official
Lvivska oblast,,,oblast,2022-09-06 04:40:07+00:00,2022-09-06 05:32:58+00:00,official
Lvivska oblast,,,oblast,2022-09-07 16:28:41+00:00,2022-09-07 16:51:45+00:00,official
Lvivska oblast,,,oblast,2022-09-11 08:12:19+00:00,2022-09-11 08:53:43+00:00,official
Lvivska oblast,,,oblast,2022-09-11 16:30:13+00:00,2022-09-11 17:44:42+00:00,official
Lvivska oblast,,,oblast,2022-09-14 13:37:07+00:00,2022-09-14 13:54:10+00:00,official
Lvivska oblast,,,oblast,2022-09-14 13:59:05+00:00,2022-09-14 14:56:20+00:00,official
Lvivska oblast,,,oblast,2022-09-15 13:52:20+00:00,2022-09-15 14:26:14+00:00,official
Lvivska oblast,,,oblast,2022-09-22 08:47:10+00:00,2022-09-22 09:16:50+00:00,official
Lvivska oblast,,,oblast,2022-09-30 07:18:07+00:00,2022-09-30 08:29:26+00:00,official
Lvivska oblast,,,oblast,2022-09-30 18:02:18+00:00,2022-09-30 18:33:19+00:00,official
Lvivska oblast,,,oblast,2022-10-01 13:12:34+00:00,2022-10-01 13:25:57+00:00,official
Lvivska oblast,,,oblast,2022-10-03 04:27:53+00:00,2022-10-03 05:11:18+00:00,official
Lvivska oblast,,,oblast,2022-10-04 11:37:25+00:00,2022-10-04 12:55:06+00:00,official
Lvivska oblast,,,oblast,2022-10-06 02:41:42+00:00,2022-10-06 03:10:33+00:00,official
Lvivska oblast,,,oblast,2022-10-09 15:36:46+00:00,2022-10-09 16:48:20+00:00,official
Lvivska oblast,,,oblast,2022-10-10 04:27:16+00:00,2022-10-10 09:21:22+00:00,official
Lvivska oblast,,,oblast,2022-10-11 05:53:19+00:00,2022-10-11 09:50:12+00:00,official
Lvivska oblast,,,oblast,2022-10-13 12:38:58+00:00,2022-10-13 13:51:53+00:00,official
Lvivska oblast,,,oblast,2022-10-15 04:10:07+00:00,2022-10-15 04:21:34+00:00,official
Lvivska oblast,,,oblast,2022-10-16 09:29:56+00:00,2022-10-16 10:32:18+00:00,official
